team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
VAN,2023,VAN,VAN,Team Level,other,63,0.48,0.43,0.41,8377.0,94.68,27.3,6.62,16.39,3.14,47.35,31.19,26.05,27.3,26.05,86.0,46.0,50.0,182.0,26.0,9.0,4.0,11.0,4.0,38.0,44.0,60.0,106.0,10.0,18.0,88.0,28.0,15.0,11.0,57.0,30.0,45.0,2.36,3.85,21.09,2.0,5.0,19.0,182.0,132.0,132.0,7.0,1.92,3.77,3.77,25.46,25.46,24.85,141.95,29.72,10.96,26.23,5.18,77.76,42.14,26.34,29.72,26.34,136.0,56.0,49.0,241.0,24.0,20.0,4.0,21.0,0.0,72.0,55.0,112.0,168.0,5.0,10.0,98.0,29.0,14.0,14.0,101.0,48.0,43.0,3.9,6.33,19.5,3.0,7.0,14.0,241.0,192.0,192.0,6.0,3.29,7.28,7.28,25.74,25.74,23.88
VAN,2023,VAN,VAN,Team Level,all,63,0.51,0.51,0.5,229128.0,1899.73,198.15,135.41,453.59,64.37,1038.24,739.24,189.87,200.82,192.45,1776.0,853.0,1058.0,3687.0,224.0,209.0,34.0,358.0,10.0,863.0,965.0,1552.0,2405.0,232.0,521.0,1758.0,1520.0,379.0,402.0,1934.0,451.0,244.0,55.87,56.95,85.33,83.0,68.0,73.0,3766.16,2629.0,2678.84,250.0,30.24,45.13,45.13,183.26,186.04,182.12,1912.13,188.37,132.63,462.49,66.25,1031.55,747.7,178.31,186.87,176.88,1859.0,770.0,969.0,3598.0,174.0,216.0,22.0,360.0,3.0,939.0,937.0,1685.0,2455.0,237.0,529.0,1687.0,1445.0,319.0,449.0,1928.0,469.0,232.0,52.77,58.78,76.81,62.0,54.0,58.0,3536.63,2629.0,2595.32,233.0,29.99,46.4,46.49,171.86,170.37,165.04
VAN,2023,VAN,VAN,Team Level,5on5,63,0.51,0.51,0.51,182517.0,1448.62,125.31,96.55,364.03,48.91,793.97,580.23,120.37,127.98,122.96,1342.0,667.0,829.0,2838.0,151.0,153.0,24.0,295.0,5.0,640.0,765.0,1191.0,1858.0,206.0,468.0,1324.0,1416.0,307.0,341.0,1540.0,331.0,138.0,44.56,42.15,38.6,68.0,56.0,27.0,2917.16,2009.0,2058.84,221.0,20.03,31.68,31.89,113.45,116.24,114.46,1421.57,120.95,91.69,363.83,49.4,762.41,575.72,116.47,119.44,115.04,1372.0,592.0,765.0,2729.0,110.0,161.0,13.0,286.0,2.0,677.0,728.0,1262.0,1854.0,207.0,463.0,1284.0,1341.0,260.0,367.0,1496.0,326.0,142.0,39.8,41.08,40.06,50.0,36.0,24.0,2667.63,1964.0,1930.32,195.0,19.09,32.64,32.74,107.29,105.8,103.99
VAN,2023,VAN,VAN,Team Level,4on5,63,0.12,0.11,0.13,18881.0,46.58,4.64,2.21,7.06,1.51,14.69,31.89,4.51,4.64,4.51,54.0,8.0,7.0,69.0,5.0,3.0,1.0,1.0,0.0,14.0,39.0,49.0,57.0,11.0,22.0,157.0,49.0,44.0,19.0,45.0,9.0,8.0,1.06,1.1,2.48,1.0,1.0,3.0,69.0,62.0,62.0,19.0,0.5,0.96,0.96,4.18,4.18,4.17,293.89,32.61,27.25,63.94,9.8,173.31,91.09,30.67,32.61,30.67,291.0,107.0,151.0,549.0,34.0,32.0,4.0,51.0,1.0,171.0,109.0,257.0,364.0,16.0,32.0,180.0,21.0,12.0,45.0,278.0,80.0,40.0,7.84,9.69,15.08,7.0,10.0,17.0,549.0,398.0,398.0,11.0,6.99,5.99,5.99,33.61,33.61,32.2
VAN,2023,VAN,VAN,Team Level,5on4,63,0.89,0.88,0.85,19353.0,309.85,40.89,30.02,66.12,10.8,182.24,95.93,38.93,40.89,38.93,294.0,132.0,172.0,598.0,42.0,44.0,5.0,51.0,1.0,171.0,117.0,252.0,384.0,5.0,13.0,189.0,27.0,13.0,31.0,292.0,81.0,53.0,7.89,9.85,23.15,12.0,6.0,24.0,598.0,426.0,426.0,3.0,7.79,8.72,8.51,40.17,40.17,38.65,54.72,5.09,2.72,8.49,1.87,18.07,38.75,4.84,5.09,4.84,60.0,15.0,4.0,79.0,6.0,3.0,1.0,2.0,0.0,19.0,45.0,54.0,69.0,9.0,24.0,125.0,54.0,33.0,23.0,53.0,15.0,7.0,1.24,1.68,2.17,2.0,1.0,3.0,79.0,75.0,75.0,21.0,0.62,0.49,0.49,5.22,5.22,4.98
BOS,2023,BOS,BOS,Team Level,other,62,0.54,0.48,0.47,9483.0,135.89,26.51,9.09,25.77,4.56,66.05,50.03,25.08,26.51,25.08,145.0,37.0,62.0,244.0,25.0,11.0,1.0,24.0,3.0,57.0,62.0,120.0,157.0,9.0,21.0,146.0,46.0,26.0,28.0,101.0,44.0,37.0,3.99,5.48,17.04,6.0,7.0,12.0,244.0,182.0,182.0,11.0,2.54,3.74,3.11,25.94,25.94,24.89,150.53,22.71,12.04,30.21,5.48,83.96,49.59,20.97,22.71,20.97,140.0,64.0,60.0,264.0,28.0,19.0,5.0,29.0,3.0,64.0,61.0,112.0,176.0,9.0,19.0,119.0,35.0,21.0,24.0,117.0,56.0,31.0,4.72,6.64,11.34,7.0,8.0,13.0,264.0,204.0,204.0,8.0,3.43,4.81,4.81,21.33,21.33,20.23
BOS,2023,BOS,BOS,Team Level,all,62,0.51,0.48,0.48,227573.0,1923.64,201.08,136.0,447.46,65.06,1029.42,750.99,191.62,203.15,193.54,1868.0,762.0,958.0,3588.0,205.0,203.0,28.0,341.0,12.0,899.0,970.0,1663.0,2425.0,251.0,553.0,1769.0,1599.0,390.0,475.0,1871.0,515.0,244.0,54.18,64.11,82.79,63.0,72.0,70.0,3648.91,2630.0,2671.52,211.0,30.39,46.02,46.02,185.45,187.15,182.62,2067.59,191.96,140.59,503.14,70.54,1106.12,814.65,182.67,190.75,181.54,1952.0,875.0,1052.0,3879.0,171.0,207.0,38.0,456.0,16.0,1001.0,976.0,1781.0,2656.0,225.0,495.0,1815.0,1713.0,509.0,501.0,2101.0,500.0,226.0,58.55,62.65,70.76,55.0,48.0,68.0,3822.31,2827.0,2791.8,216.0,31.47,44.83,44.83,178.6,177.48,172.53
BOS,2023,BOS,BOS,Team Level,5on5,62,0.5,0.48,0.48,181298.0,1455.78,129.54,98.14,355.52,49.46,784.25,583.1,124.42,131.59,126.35,1397.0,603.0,758.0,2758.0,136.0,161.0,26.0,257.0,8.0,673.0,765.0,1261.0,1864.0,216.0,482.0,1296.0,1449.0,308.0,381.0,1489.0,367.0,144.0,42.44,45.44,41.65,53.0,51.0,32.0,2818.91,2000.0,2041.52,182.0,20.4,35.68,35.68,114.26,115.95,114.35,1599.43,130.24,101.35,410.32,54.66,854.32,646.1,124.71,129.03,123.56,1493.0,704.0,838.0,3035.0,104.0,156.0,26.0,368.0,12.0,790.0,767.0,1389.0,2093.0,194.0,430.0,1381.0,1591.0,423.0,401.0,1695.0,364.0,138.0,46.1,45.96,38.17,43.0,31.0,30.0,2978.31,2197.0,2161.8,182.0,21.08,31.76,32.3,119.02,117.9,115.47
BOS,2023,BOS,BOS,Team Level,4on5,62,0.15,0.14,0.17,19360.0,54.55,6.02,2.96,8.24,1.75,17.73,36.3,5.95,6.02,5.95,58.0,15.0,9.0,82.0,4.0,1.0,0.0,9.0,0.0,10.0,49.0,54.0,69.0,12.0,22.0,157.0,84.0,45.0,19.0,51.0,14.0,8.0,1.57,1.83,2.61,1.0,1.0,2.0,82.0,73.0,73.0,13.0,0.68,0.1,0.1,6.6,6.6,6.52,260.67,33.14,24.26,54.43,8.71,150.69,80.77,31.21,33.14,31.21,260.0,92.0,147.0,499.0,36.0,29.0,7.0,56.0,0.0,129.0,102.0,224.0,316.0,16.0,32.0,182.0,24.0,20.0,58.0,239.0,66.0,47.0,6.37,8.11,18.66,5.0,7.0,24.0,499.0,352.0,352.0,8.0,6.28,7.38,6.84,32.59,32.59,31.22
BOS,2023,BOS,BOS,Team Level,5on4,62,0.87,0.86,0.84,17432.0,277.43,39.01,25.82,57.92,9.3,161.39,81.55,36.17,39.01,36.17,268.0,107.0,129.0,504.0,40.0,30.0,1.0,51.0,1.0,159.0,94.0,228.0,335.0,14.0,28.0,170.0,20.0,11.0,47.0,230.0,90.0,55.0,6.18,11.35,21.49,3.0,13.0,24.0,504.0,375.0,375.0,5.0,6.77,6.51,7.14,38.66,38.66,36.86,56.95,5.87,2.94,8.17,1.68,17.14,38.19,5.79,5.87,5.79,59.0,15.0,7.0,81.0,3.0,3.0,0.0,3.0,1.0,18.0,46.0,56.0,71.0,6.0,14.0,133.0,63.0,45.0,18.0,50.0,14.0,10.0,1.35,1.93,2.59,0.0,2.0,1.0,81.0,74.0,74.0,18.0,0.69,0.89,0.89,5.66,5.66,5.61
